ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
2483,2466,90,180,0
4917,0,130,360,0
4106,0,40,180,1
3859,3300,142,180,1
6417,0,157,180,1
14583,0,185,180,1
9328,0,188,180,1
9323,7873,380,300,1
4885,0,48,360,1
3975,2531,55,360,1
2507,0,56,360,1
2213,0,66,360,1
2900,0,71,360,1
2920,16.12000084,87,360,1
3158,3053,89,360,1
2666,2083,95,360,1
5677,1424,100,360,1
2045,1619,101,360,1
2583,2167,104,360,1
2600,1700,107,360,1
1782,2232,107,360,1
6250,1300,108,360,1
3232,1950,108,360,1
3902,1666,109,360,1
3691,0,110,360,1
3833,0,110,360,1
4652,0,110,360,1
2785,2016,110,360,1
2253,2033,110,360,1
3812,0,112,360,1
1025,2773,112,360,1
3095,0,113,360,1
3497,1964,116,360,1
4191,0,120,360,1
7200,0,120,360,1
3704,2000,120,360,1
5819,5000,120,360,1
2666,4300,121,360,1
5488,0,125,360,1
2833,1857,126,360,1
2439,3333,129,360,1
5703,0,130,360,1
3466,1210,130,360,1
8750,4996,130,360,1
1958,2436,131,360,1
5000,0,132,360,1
3762,1666,135,360,1
4354,0,136,360,1
5829,0,138,360,1
7142,0,138,360,1
3075,2416,139,360,1
6000,0,140,360,1
4000,2500,140,360,1
6822,0,141,360,1
2526,1783,145,360,1
16525,1014,150,360,1
3466,3428,150,360,1
4095,3447,151,360,1
2577,3750,152,360,1
3015,2188,153,360,1
4350,0,154,360,1
2768,1950,155,360,1
3987,1411,157,360,1
4167,1447,158,360,1
5532,4648,162,360,1
8333,3167,165,360,1
5500,1260,170,360,1
3676,4301,172,360,1
2500,4600,176,360,1
9963,0,180,360,1
7901,1833,180,360,1
9167,0,185,360,1
9508,0,187,360,1
8333,3750,187,360,1
2625,6250,187,360,1
4300,2014,194,360,1
6400,0,200,360,1
5923,2054,211,360,1
3510,4416,243,360,1
3083,0,255,360,1
9504,0,275,360,1
15000,0,300,360,1
17500,0,400,360,1
7948,7166,480,360,1
645,3683,113,480,1
39999,0,600,180,0
2137,8980,137,360,0
5285,1430,161,360,0
4923,0,166,360,0
3326,913,105,84,1
3459,0,25,120,1
3620,0,25,120,1
3000,3416,56,180,1
4600,0,73,180,1
1993,1625,113,180,1
4188,0,115,180,1
4608,2845,140,180,1
6950,0,175,180,1
6250,5654,188,180,1
2661,7101,279,180,1
3500,0,81,300,1
3814,1483,124,300,1
6700,1750,230,300,1
5468,1032,26,360,1
3166,0,36,360,1
4166,0,44,360,1
2192,1742,45,360,1
1977,997,50,360,1
1926,1851,50,360,1
1963,0,53,360,1
2500,0,55,360,1
15759,0,55,360,1
2165,0,70,360,1
2718,0,70,360,1
4160,0,71,360,1
3173,0,74,360,1
3858,0,76,360,1
2957,0,81,360,1
2917,0,84,360,1
7085,0,84,360,1
16667,2250,86,360,1
3900,0,90,360,1
2600,2500,90,360,1
2679,1302,94,360,1
2895,0,95,360,1
3315,0,96,360,1
3859,0,96,360,1
14880,0,96,360,1
2132,1591,96,360,1
2708,1167,97,360,1
1875,1875,97,360,1
2935,0,98,360,1
1863,1041,98,360,1
3159,0,100,360,1
4691,0,100,360,1
3850,983,100,360,1
1928,1644,100,360,1
2330,4486,100,360,1
4895,0,102,360,1
2500,20000,103,360,1
2491,2054,104,360,1
2500,2118,104,360,1
3617,0,107,360,1
3625,0,108,360,1
3675,242,108,360,1
3775,0,110,360,1
3748,1668,110,360,1
3846,0,111,360,1
2927,2405,111,360,1
3927,800,112,360,1
3500,1667,114,360,1
4124,0,115,360,1
4547,0,115,360,1
2750,1842,115,360,1
2400,2167,115,360,1
3750,0,116,360,1
4009,1717,116,360,1
3086,0,120,360,1
3717,0,120,360,1
4408,0,120,360,1
39147,4750,120,360,1
4133,0,122,360,1
2698,2034,122,360,1
2799,2253,122,360,1
3406,4417,123,360,1
3917,0,124,360,1
4342,189,124,360,1
4860,830,125,360,1
5166,0,128,360,1
6250,0,128,360,1
2083,3150,128,360,1
6783,0,130,360,1
2423,505,130,360,1
3727,1775,131,360,1
2958,2900,131,360,1
1759,3541,131,360,1
5800,0,132,360,1
2346,1600,132,360,1
5935,0,133,360,1
2060,2209,134,360,1
3941,2336,134,360,1
2366,2531,136,360,1
2484,2302,137,360,1
3246,1417,138,360,1
3155,1779,140,360,1
2425,2340,143,360,1
3667,1459,144,360,1
4000,2275,144,360,1
2971,2791,144,360,1
4707,1993,148,360,1
8624,0,150,360,1
4708,1387,150,360,1
2620,2223,150,360,1
4843,3806,151,360,1
37719,0,152,360,1
3167,2283,154,360,1
5185,0,155,360,1
4583,2083,160,360,1
2499,2458,160,360,1
3450,2079,162,360,1
3887,2669,162,360,1
2383,3334,172,360,1
3400,2500,173,360,1
6325,0,175,360,1
5695,4167,175,360,1
4180,2306,182,360,1
5818,2160,184,360,1
5266,1774,187,360,1
3660,5064,187,360,1
5708,5625,187,360,1
9560,0,191,360,1
6875,0,200,360,1
8000,0,200,360,1
5167,3167,200,360,1
6540,0,205,360,1
3993,3274,207,360,1
4865,5624,208,360,1
6250,1695,210,360,1
17263,0,225,360,1
9083,0,228,360,1
10833,0,234,360,1
5000,3667,236,360,1
8333,0,246,360,1
6065,2004,250,360,1
4583,5625,255,360,1
10139,0,260,360,1
8333,0,280,360,1
5941,4232,296,360,1
14583,0,436,360,1
12000,0,496,360,1
19484,0,600,360,1
2071,754,94,480,1
2031,1632,113,480,1
2882,1843,123,480,1
4333,1811,160,360,0
7100,0,125,60,1
2965,5701,155,60,1
3159,461,108,84,1
1299,1086,17,120,1
2717,0,60,180,1
9323,0,75,180,1
2301,985.7999878,78,180,1
3399,1640,111,180,1
4817,923,120,180,1
7740,0,128,180,1
4288,3263,133,180,1
6608,0,137,180,1
11757,0,187,180,1
3988,0,50,240,1
3237,0,30,360,1
1538,1425,30,360,1
13262,0,40,360,1
5649,0,44,360,1
1800,1213,47,360,1
3254,0,50,360,1
1811,1666,54,360,1
2479,0,59,360,1
2995,0,60,360,1
3000,0,66,360,1
2500,0,67,360,1
3333,0,70,360,1
14866,0,70,360,1
3200,700,70,360,1
2014,1929,74,360,1
3244,0,80,360,1
3103,1300,80,360,1
3273,1820,81,360,1
3316,3500,88,360,1
2876,1560,90,360,1
1809,1868,90,360,1
3033,1459,95,360,1
2333,1516,95,360,1
1625,1803,96,360,1
3029,0,99,360,1
3750,0,100,360,1
4281,0,100,360,1
3052,1030,100,360,1
1820,1719,100,360,1
2297,1522,104,360,1
4226,1040,110,360,1
3229,2739,110,360,1
9703,0,112,360,1
3100,1400,113,360,1
2167,2400,115,360,1
4384,1793,117,360,1
4301,0,118,360,1
2583,2358,120,360,1
2500,3796,120,360,1
4950,0,125,360,1
18165,0,125,360,1
3083,2168,126,360,1
5703,0,128,360,1
7167,0,128,360,1
2239,2524,128,360,1
5391,0,130,360,1
4750,2333,130,360,1
3153,1560,134,360,1
4666,0,135,360,1
3500,1083,135,360,1
5316,0,136,360,1
11146,0,136,360,1
2333,2417,136,360,1
3173,3021,137,360,1
6000,0,141,360,1
5821,0,144,360,1
3357,2859,144,360,1
3283,2035,148,360,1
6000,0,156,360,1
4554,1229,158,360,1
3333,3250,158,360,1
5417,0,168,360,1
4006,1526,168,360,1
3208,3066,172,360,1
8080,2250,180,360,1
4166,7210,184,360,1
3417,1750,186,360,1
7583,0,187,360,1
9538,0,187,360,1
2479,3013,188,360,1
5780,0,192,360,1
3073,8106,200,360,1
8566,0,210,360,1
11417,1126,225,360,1
7787,0,240,360,1
8072,240,253,360,1
10408,0,259,360,1
16120,0,260,360,1
5417,4196,267,360,1
16666,0,275,360,1
10750,0,312,360,1
5955,5625,315,360,1
6133,3906,324,360,1
